0	40	79	0	39
1	120	159	0	39
2	185	238	0	39
3	241	318	0	39
4	343	399	0	39
5	423	479	0	39
6	503	559	0	39
7	587	639	0	39
8	681	719	0	39
9	760	799	0	39
10	840	879	0	39
11	907	959	0	39
12	987	1039	0	39
13	1067	1119	0	39
14	1147	1199	0	39
15	1226	1279	1	39
16	1304	1304	0	39
17	1306	1359	0	39
18	1386	1439	0	39
19	1467	1519	0	39
20	1543	1600	1	39
21	1622	1679	2	38
22	1706	1759	0	39
23	1786	1839	0	39
24	1868	1917	1	39
25	1951	1999	1	39
26	2026	2079	1	39
27	2106	2159	1	39
28	2185	2239	1	39
29	2267	2319	0	39
30	2347	2399	0	39
31	2427	2479	0	39
32	2507	2559	0	39
33	2581	2639	0	38
34	2662	2719	2	39
35	2742	2799	1	39
36	2826	2879	1	38
37	2902	2959	1	39
38	2981	3039	0	39
39	3062	3119	0	38
40	3143	3199	0	38
41	3228	3228	6	6
42	3230	3279	0	38
43	3310	3359	0	39
44	3390	3439	0	38
45	3457	3457	0	39
46	3461	3519	1	39
47	3554	3599	1	39
48	3625	3679	1	39
49	3710	3759	0	38
50	3787	3839	0	39
51	3860	3860	1	38
52	3867	3920	1	39
53	3947	3999	0	38
54	4021	4079	1	39
55	4109	4159	0	38
56	4181	4239	2	38
57	4261	4319	1	39
58	4347	4400	0	39
59	4440	4479	1	39
60	4507	4559	0	39
61	4587	4639	0	39
62	4680	4719	1	39
63	4747	4799	0	39
64	4824	4880	0	39
65	4908	4959	0	39
66	4985	5040	0	39
67	5064	5120	0	39
68	5141	5199	1	39
69	5222	5222	3	31
70	5225	5279	0	38
71	5308	5359	1	38
72	5385	5440	0	38
73	5468	5519	0	38
74	5542	5599	1	38
75	5620	5620	1	38
76	5622	5680	1	38
77	5701	5759	0	37
78	5795	5840	0	39
79	5867	5919	1	39
80	5935	5999	1	39
81	6020	6079	0	39
82	6098	6157	2	39
83	6186	6238	0	39
84	6249	6319	0	39
85	6332	6399	1	39
86	6401	6470	2	39
87	6481	6551	0	39
88	6560	6639	0	39
89	6643	6717	0	39
90	6730	6879	0	39
91	6881	6950	0	38
92	6958	7039	0	39
93	7042	7119	0	38
94	7163	7199	0	39
95	7241	7279	0	39
96	7323	7359	0	35
97	7400	7439	0	39
98	7480	7519	0	39
99	7560	7599	0	36
100	7640	7679	0	39
101	7720	7759	0	39
102	7800	7839	0	37
103	7863	7919	0	39
104	7943	7999	0	39
105	8023	8079	0	39
106	8120	8159	0	39
107	8200	8239	0	39
108	8280	8319	0	39
109	8360	8399	0	39
110	8440	8479	0	39
111	8520	8559	0	39
112	8577	8639	1	39
113	8646	8719	0	39
114	8727	8799	0	39
115	8824	8879	0	39
116	8920	8959	0	39
117	9000	9039	0	39
118	9080	9119	0	39
119	9160	9281	0	39
120	9310	9361	0	39
121	9389	9439	0	39
122	9464	9519	0	39
123	9539	9599	0	39
